127.0.0.1 - - [29/Jul/2013:19:21:58 -0300] "GET / HTTP/1.1" 404 951
143.107.162.166 - - [29/Jul/2013:19:22:22 -0300] "GET /remoto/overview.htm HTTP/1.1" 200 7661
143.107.162.166 - - [29/Jul/2013:19:22:22 -0300] "GET /remoto/bg.css HTTP/1.1" 200 84
143.107.162.166 - - [29/Jul/2013:19:22:22 -0300] "GET /remoto/SpryAssets/SpryMenuBarHorizontal.css HTTP/1.1" 200 6080
143.107.162.166 - - [29/Jul/2013:19:22:22 -0300] "GET /remoto/SpryAssets/SpryTooltip.js HTTP/1.1" 200 29953
143.107.162.166 - - [29/Jul/2013:19:22:22 -0300] "GET /remoto/SpryAssets/SpryMenuBar.js HTTP/1.1" 200 22007
143.107.162.166 - - [29/Jul/2013:19:22:22 -0300] "GET /remoto/SpryAssets/SpryTooltip_quickguide.css HTTP/1.1" 200 449
143.107.162.166 - - [29/Jul/2013:19:22:22 -0300] "GET /remoto/downloads.png HTTP/1.1" 200 32639
143.107.162.166 - - [29/Jul/2013:19:22:22 -0300] "GET /remoto/CompleteCircuitry.png HTTP/1.1" 200 87679
143.107.162.166 - - [29/Jul/2013:19:22:22 -0300] "GET /remoto/SpryAssets/SpryMenuBarDownHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [29/Jul/2013:19:22:22 -0300] "GET /remoto/SpryAssets/SpryMenuBarRightHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [29/Jul/2013:19:22:22 -0300] "GET /remoto/bg1.jpg HTTP/1.1" 200 561841
143.107.162.166 - - [29/Jul/2013:19:22:22 -0300] "GET /remoto/remoto_top.png HTTP/1.1" 200 96503
143.107.162.166 - - [29/Jul/2013:19:22:22 -0300] "GET /remoto/SpryAssets/SpryMenuBarRight.gif HTTP/1.1" 200 55
143.107.162.166 - - [29/Jul/2013:19:22:22 -0300] "GET /remoto/SpryAssets/SpryMenuBarDown.gif HTTP/1.1" 200 55
143.107.162.166 - - [29/Jul/2013:19:22:22 -0300] "GET /remoto/favicon.ico HTTP/1.1" 200 2102
143.107.162.166 - - [29/Jul/2013:19:22:23 -0300] "GET /remoto/login.do HTTP/1.1" 500 2512
143.107.162.166 - - [29/Jul/2013:19:22:23 -0300] "GET /favicon.ico HTTP/1.1" 404 973
143.107.162.166 - - [29/Jul/2013:19:22:23 -0300] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [29/Jul/2013:19:26:12 -0300] "GET / HTTP/1.1" 404 951
143.107.162.166 - - [29/Jul/2013:19:26:17 -0300] "GET /remoto/login.do HTTP/1.1" 200 8724
143.107.162.166 - - [29/Jul/2013:19:26:17 -0300] "GET /remoto/hint.css HTTP/1.1" 200 109
143.107.162.166 - - [29/Jul/2013:19:26:17 -0300] "GET /remoto/image/seta.gif HTTP/1.1" 200 833
143.107.162.166 - - [29/Jul/2013:19:27:24 -0300] "GET /remoto/input.do HTTP/1.1" 200 22460
143.107.162.166 - - [29/Jul/2013:19:27:24 -0300] "GET /remoto/SpryAssets/SpryCollapsiblePanel.css HTTP/1.1" 200 4126
143.107.162.166 - - [29/Jul/2013:19:27:24 -0300] "GET /remoto/SpryAssets/SpryTabbedPanels.js HTTP/1.1" 200 11701
143.107.162.166 - - [29/Jul/2013:19:27:24 -0300] "GET /remoto/SpryAssets/SpryCollapsiblePanel.js HTTP/1.1" 200 15731
143.107.162.166 - - [29/Jul/2013:19:27:24 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.32745678294827096 HTTP/1.1" 200 37796
143.107.162.166 - - [29/Jul/2013:19:27:25 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.7229672779264886 HTTP/1.1" 200 24641
143.107.162.166 - - [29/Jul/2013:19:27:26 -0300] "POST /remoto/input.do HTTP/1.1" 200 20384
143.107.162.166 - - [29/Jul/2013:19:27:26 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.7393440014545546 HTTP/1.1" 200 31559
143.107.162.166 - - [29/Jul/2013:19:27:26 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.4314053205186108 HTTP/1.1" 200 33463
143.107.162.166 - - [29/Jul/2013:19:27:28 -0300] "POST /remoto/input.do HTTP/1.1" 200 20383
143.107.162.166 - - [29/Jul/2013:19:27:28 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.8871971108631255 HTTP/1.1" 200 33463
143.107.162.166 - - [29/Jul/2013:19:27:28 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.958821785029575 HTTP/1.1" 200 31559
143.107.162.166 - - [29/Jul/2013:19:30:00 -0300] "GET /remoto/login.do HTTP/1.1" 200 8680
143.107.162.166 - - [29/Jul/2013:19:30:08 -0300] "GET /remoto/input.do HTTP/1.1" 200 20382
143.107.162.166 - - [29/Jul/2013:19:30:09 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.7842741331011568 HTTP/1.1" 200 31559
143.107.162.166 - - [29/Jul/2013:19:30:09 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.81624992090721 HTTP/1.1" 200 33463
143.107.162.166 - - [29/Jul/2013:19:30:11 -0300] "GET /remoto/network.do HTTP/1.1" 200 25705
143.107.162.166 - - [29/Jul/2013:19:30:12 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.49877214261707703 HTTP/1.1" 200 29311
143.107.162.166 - - [29/Jul/2013:19:30:13 -0300] "POST /remoto/network.do HTTP/1.1" 200 25722
143.107.162.166 - - [29/Jul/2013:19:30:14 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.9274528667121937 HTTP/1.1" 200 29712
143.107.162.166 - - [29/Jul/2013:19:30:14 -0300] "POST /remoto/network.do HTTP/1.1" 200 25740
143.107.162.166 - - [29/Jul/2013:19:30:14 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.5443282544019579 HTTP/1.1" 200 29994
143.107.162.166 - - [29/Jul/2013:19:30:15 -0300] "POST /remoto/network.do HTTP/1.1" 200 25722
143.107.162.166 - - [29/Jul/2013:19:30:15 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.7584439186780724 HTTP/1.1" 200 30457
143.107.162.166 - - [29/Jul/2013:19:30:16 -0300] "POST /remoto/network.do HTTP/1.1" 200 25704
143.107.162.166 - - [29/Jul/2013:19:30:16 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.3403115673253183 HTTP/1.1" 200 29994
143.107.162.166 - - [29/Jul/2013:19:30:19 -0300] "POST /remoto/network.do HTTP/1.1" 200 25686
