127.0.0.1 - - [28/Apr/2014:11:14:55 -0300] "GET / HTTP/1.1" 404 951
143.107.162.166 - - [28/Apr/2014:11:15:03 -0300] "GET /remoto/overview.htm HTTP/1.1" 200 7661
143.107.162.166 - - [28/Apr/2014:11:15:03 -0300] "GET /remoto/bg.css HTTP/1.1" 200 84
143.107.162.166 - - [28/Apr/2014:11:15:03 -0300] "GET /remoto/SpryAssets/SpryTooltip.js HTTP/1.1" 200 29953
143.107.162.166 - - [28/Apr/2014:11:15:03 -0300] "GET /remoto/SpryAssets/SpryMenuBar.js HTTP/1.1" 200 22007
143.107.162.166 - - [28/Apr/2014:11:15:03 -0300] "GET /remoto/favicon.ico HTTP/1.1" 200 2102
143.107.162.166 - - [28/Apr/2014:11:15:03 -0300] "GET /remoto/SpryAssets/SpryTooltip_quickguide.css HTTP/1.1" 200 449
143.107.162.166 - - [28/Apr/2014:11:15:03 -0300] "GET /remoto/SpryAssets/SpryMenuBarHorizontal.css HTTP/1.1" 200 6080
143.107.162.166 - - [28/Apr/2014:11:15:03 -0300] "GET /remoto/downloads.png HTTP/1.1" 200 32639
143.107.162.166 - - [28/Apr/2014:11:15:03 -0300] "GET /remoto/CompleteCircuitry.png HTTP/1.1" 200 87679
143.107.162.166 - - [28/Apr/2014:11:15:03 -0300] "GET /remoto/bg1.jpg HTTP/1.1" 200 561841
143.107.162.166 - - [28/Apr/2014:11:15:03 -0300] "GET /remoto/SpryAssets/SpryMenuBarDownHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [28/Apr/2014:11:15:03 -0300] "GET /remoto/SpryAssets/SpryMenuBarRightHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [28/Apr/2014:11:15:03 -0300] "GET /remoto/SpryAssets/SpryMenuBarDown.gif HTTP/1.1" 200 55
143.107.162.166 - - [28/Apr/2014:11:15:03 -0300] "GET /remoto/SpryAssets/SpryMenuBarRight.gif HTTP/1.1" 200 55
143.107.162.166 - - [28/Apr/2014:11:15:03 -0300] "GET /remoto/remoto_top.png HTTP/1.1" 200 96503
143.107.162.166 - - [28/Apr/2014:11:15:06 -0300] "GET /remoto/login.do HTTP/1.1" 200 8724
143.107.162.166 - - [28/Apr/2014:11:15:06 -0300] "GET /remoto/hint.css HTTP/1.1" 200 109
143.107.162.166 - - [28/Apr/2014:11:15:06 -0300] "GET /remoto/image/seta.gif HTTP/1.1" 200 833
143.107.162.166 - - [28/Apr/2014:11:15:10 -0300] "GET /remoto/biomechanicalElements.do HTTP/1.1" 200 10414
143.107.162.166 - - [28/Apr/2014:11:15:10 -0300] "GET /remoto/apply.css HTTP/1.1" 200 129
143.107.162.166 - - [28/Apr/2014:11:15:10 -0300] "GET /remoto/ankle.png HTTP/1.1" 200 355732
143.107.162.166 - - [28/Apr/2014:11:15:12 -0300] "POST /remoto/musculotendon.do HTTP/1.1" 200 22454
143.107.162.166 - - [28/Apr/2014:11:15:12 -0300] "GET /remoto/SOCDS.png HTTP/1.1" 200 28369
143.107.162.166 - - [28/Apr/2014:11:15:12 -0300] "GET /remoto/Hill_model.png HTTP/1.1" 200 54661
143.107.162.166 - - [28/Apr/2014:11:25:14 -0300] "GET /favicon.ico HTTP/1.1" 404 973
143.107.162.166 - - [28/Apr/2014:11:25:14 -0300] "GET /favicon.ico HTTP/1.1" 404 973
54.85.73.97 - - [28/Apr/2014:15:47:57 -0300] "HEAD / HTTP/1.0" 404 -
71.6.167.142 - - [28/Apr/2014:19:28:29 -0300] "GET / HTTP/1.1" 404 951
71.6.167.142 - - [28/Apr/2014:19:28:30 -0300] "GET /robots.txt HTTP/1.1" 404 971
202.101.72.88 - - [28/Apr/2014:20:04:59 -0300] "GET / HTTP/1.1" 404 951
61.136.151.253 - - [28/Apr/2014:22:21:44 -0300] "GET / HTTP/1.0" 404 951
