127.0.0.1 - - [07/May/2014:16:51:23 -0300] "GET / HTTP/1.1" 404 951
143.107.162.166 - - [07/May/2014:16:51:41 -0300] "GET /remoto/overview.htm HTTP/1.1" 200 7661
143.107.162.166 - - [07/May/2014:16:51:44 -0300] "GET /remoto/bg.css HTTP/1.1" 200 84
143.107.162.166 - - [07/May/2014:16:51:44 -0300] "GET /remoto/SpryAssets/SpryMenuBar.js HTTP/1.1" 200 22007
143.107.162.166 - - [07/May/2014:16:51:44 -0300] "GET /remoto/SpryAssets/SpryTooltip_quickguide.css HTTP/1.1" 200 449
143.107.162.166 - - [07/May/2014:16:51:44 -0300] "GET /remoto/SpryAssets/SpryTooltip.js HTTP/1.1" 200 29953
143.107.162.166 - - [07/May/2014:16:51:44 -0300] "GET /remoto/SpryAssets/SpryMenuBarHorizontal.css HTTP/1.1" 200 6080
143.107.162.166 - - [07/May/2014:16:51:44 -0300] "GET /remoto/downloads.png HTTP/1.1" 200 32639
143.107.162.166 - - [07/May/2014:16:51:44 -0300] "GET /remoto/CompleteCircuitry.png HTTP/1.1" 200 87679
143.107.162.166 - - [07/May/2014:16:51:44 -0300] "GET /remoto/favicon.ico HTTP/1.1" 200 2102
143.107.162.166 - - [07/May/2014:16:51:44 -0300] "GET /remoto/SpryAssets/SpryMenuBarDownHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [07/May/2014:16:51:44 -0300] "GET /remoto/SpryAssets/SpryMenuBarRightHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [07/May/2014:16:51:44 -0300] "GET /remoto/bg1.jpg HTTP/1.1" 200 561841
143.107.162.166 - - [07/May/2014:16:51:44 -0300] "GET /remoto/SpryAssets/SpryMenuBarRight.gif HTTP/1.1" 200 55
143.107.162.166 - - [07/May/2014:16:51:44 -0300] "GET /remoto/SpryAssets/SpryMenuBarDown.gif HTTP/1.1" 200 55
143.107.162.166 - - [07/May/2014:16:51:44 -0300] "GET /remoto/remoto_top.png HTTP/1.1" 200 96503
143.107.162.166 - - [07/May/2014:16:51:46 -0300] "GET /remoto/login.do HTTP/1.1" 200 8724
143.107.162.166 - - [07/May/2014:16:51:46 -0300] "GET /remoto/hint.css HTTP/1.1" 200 109
143.107.162.166 - - [07/May/2014:16:51:46 -0300] "GET /remoto/image/seta.gif HTTP/1.1" 200 833
143.107.162.166 - - [07/May/2014:16:51:53 -0300] "POST /remoto/login.do;jsessionid=E74BF1A51C4288B04DC70AC14B70C81A HTTP/1.1" 200 8686
143.107.162.166 - - [07/May/2014:16:51:54 -0300] "GET /remoto/general.do HTTP/1.1" 200 11116
143.107.162.166 - - [07/May/2014:16:51:54 -0300] "GET /remoto/SpryAssets/SpryTooltip.css HTTP/1.1" 200 497
143.107.162.166 - - [07/May/2014:16:52:05 -0300] "GET /remoto/input.do HTTP/1.1" 200 22459
143.107.162.166 - - [07/May/2014:16:52:05 -0300] "GET /remoto/SpryAssets/SpryTabbedPanels.js HTTP/1.1" 200 11701
143.107.162.166 - - [07/May/2014:16:52:05 -0300] "GET /remoto/SpryAssets/SpryCollapsiblePanel.js HTTP/1.1" 200 15731
143.107.162.166 - - [07/May/2014:16:52:05 -0300] "GET /remoto/SpryAssets/SpryCollapsiblePanel.css HTTP/1.1" 200 4126
143.107.162.166 - - [07/May/2014:16:52:06 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.5118927822296473 HTTP/1.1" 200 35214
143.107.162.166 - - [07/May/2014:16:52:07 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.9501835775270503 HTTP/1.1" 200 22321
143.107.162.166 - - [07/May/2014:16:52:08 -0300] "POST /remoto/input.do HTTP/1.1" 200 24314
143.107.162.166 - - [07/May/2014:16:52:09 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.013165708472009818 HTTP/1.1" 200 34154
143.107.162.166 - - [07/May/2014:16:52:09 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.7384522048130593 HTTP/1.1" 200 22321
143.107.162.166 - - [07/May/2014:16:52:25 -0300] "POST /remoto/input.do HTTP/1.1" 200 25311
143.107.162.166 - - [07/May/2014:16:52:25 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.7659406537276676 HTTP/1.1" 200 32199
143.107.162.166 - - [07/May/2014:16:52:25 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.15761341655696537 HTTP/1.1" 200 22321
143.107.162.166 - - [07/May/2014:16:52:27 -0300] "POST /remoto/input.do HTTP/1.1" 200 25311
143.107.162.166 - - [07/May/2014:16:52:27 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.14260973882205485 HTTP/1.1" 200 36651
143.107.162.166 - - [07/May/2014:16:52:28 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.613921918994965 HTTP/1.1" 200 28856
143.107.162.166 - - [07/May/2014:16:53:02 -0300] "POST /remoto/input.do HTTP/1.1" 200 25321
143.107.162.166 - - [07/May/2014:16:53:02 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.903536964325134 HTTP/1.1" 200 33474
143.107.162.166 - - [07/May/2014:16:53:03 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.19559284621322848 HTTP/1.1" 200 28856
143.107.162.166 - - [07/May/2014:16:54:05 -0300] "POST /remoto/input.do HTTP/1.1" 200 25321
