190.7.129.141 - - [16/Jun/2014:08:00:28 -0300] "POST //%63%67%69%2D%62%69%6E/%70%68%70?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%6E HTTP/1.1" 404 1015
221.156.155.48 - - [16/Jun/2014:08:35:58 -0300] "POST /cgi-bin/wlogin.cgi HTTP/1.1" 404 987
221.156.155.48 - - [16/Jun/2014:08:37:41 -0300] "POST /WEB_VMS/LEVEL15/ HTTP/1.1" 404 983
221.156.155.48 - - [16/Jun/2014:09:04:18 -0300] "GET / HTTP/1.1" 404 951
143.107.162.166 - - [16/Jun/2014:15:32:00 -0300] "GET /remoto/overview.htm HTTP/1.1" 200 7661
143.107.162.166 - - [16/Jun/2014:15:32:03 -0300] "GET /remoto/bg.css HTTP/1.1" 200 84
143.107.162.166 - - [16/Jun/2014:15:32:03 -0300] "GET /remoto/SpryAssets/SpryTooltip_quickguide.css HTTP/1.1" 200 449
143.107.162.166 - - [16/Jun/2014:15:32:03 -0300] "GET /remoto/SpryAssets/SpryTooltip.js HTTP/1.1" 200 29953
143.107.162.166 - - [16/Jun/2014:15:32:03 -0300] "GET /remoto/SpryAssets/SpryMenuBarHorizontal.css HTTP/1.1" 200 6080
143.107.162.166 - - [16/Jun/2014:15:32:03 -0300] "GET /remoto/SpryAssets/SpryMenuBar.js HTTP/1.1" 200 22007
143.107.162.166 - - [16/Jun/2014:15:32:03 -0300] "GET /remoto/downloads.png HTTP/1.1" 200 32639
143.107.162.166 - - [16/Jun/2014:15:32:03 -0300] "GET /remoto/CompleteCircuitry.png HTTP/1.1" 200 87679
143.107.162.166 - - [16/Jun/2014:15:32:03 -0300] "GET /remoto/favicon.ico HTTP/1.1" 200 2102
143.107.162.166 - - [16/Jun/2014:15:32:03 -0300] "GET /remoto/bg1.jpg HTTP/1.1" 200 561841
143.107.162.166 - - [16/Jun/2014:15:32:03 -0300] "GET /remoto/SpryAssets/SpryMenuBarRightHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [16/Jun/2014:15:32:03 -0300] "GET /remoto/SpryAssets/SpryMenuBarDownHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [16/Jun/2014:15:32:03 -0300] "GET /remoto/SpryAssets/SpryMenuBarDown.gif HTTP/1.1" 200 55
143.107.162.166 - - [16/Jun/2014:15:32:03 -0300] "GET /remoto/remoto_top.png HTTP/1.1" 200 96503
143.107.162.166 - - [16/Jun/2014:15:32:03 -0300] "GET /remoto/SpryAssets/SpryMenuBarRight.gif HTTP/1.1" 200 55
143.107.162.166 - - [16/Jun/2014:15:32:05 -0300] "GET /remoto/input.do HTTP/1.1" 200 22502
143.107.162.166 - - [16/Jun/2014:15:32:05 -0300] "GET /remoto/hint.css HTTP/1.1" 200 109
143.107.162.166 - - [16/Jun/2014:15:32:05 -0300] "GET /remoto/SpryAssets/SpryCollapsiblePanel.css HTTP/1.1" 200 4126
143.107.162.166 - - [16/Jun/2014:15:32:05 -0300] "GET /remoto/SpryAssets/SpryTabbedPanels.js HTTP/1.1" 200 11701
143.107.162.166 - - [16/Jun/2014:15:32:05 -0300] "GET /remoto/SpryAssets/SpryCollapsiblePanel.js HTTP/1.1" 200 15731
143.107.162.166 - - [16/Jun/2014:15:32:16 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.820863412031102 HTTP/1.1" 200 36343
143.107.162.166 - - [16/Jun/2014:15:32:21 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.3281487171258003 HTTP/1.1" 200 24641
80.82.78.112 - - [16/Jun/2014:19:01:17 -0300] "GET /xmlrpc.php HTTP/1.1" 400 -
210.42.32.246 - - [16/Jun/2014:22:46:30 -0300] "GET / HTTP/1.0" 404 951
