127.0.0.1 - - [12/Sep/2014:18:22:27 -0300] "GET / HTTP/1.1" 404 951
143.107.162.166 - - [12/Sep/2014:18:22:39 -0300] "GET /remoto/overview.htm HTTP/1.1" 200 7661
143.107.162.166 - - [12/Sep/2014:18:22:39 -0300] "GET /remoto/bg.css HTTP/1.1" 200 84
143.107.162.166 - - [12/Sep/2014:18:22:39 -0300] "GET /remoto/SpryAssets/SpryMenuBar.js HTTP/1.1" 200 22007
143.107.162.166 - - [12/Sep/2014:18:22:39 -0300] "GET /remoto/SpryAssets/SpryTooltip.js HTTP/1.1" 200 29953
143.107.162.166 - - [12/Sep/2014:18:22:39 -0300] "GET /remoto/SpryAssets/SpryMenuBarHorizontal.css HTTP/1.1" 200 6080
143.107.162.166 - - [12/Sep/2014:18:22:39 -0300] "GET /remoto/favicon.ico HTTP/1.1" 200 2102
143.107.162.166 - - [12/Sep/2014:18:22:39 -0300] "GET /remoto/SpryAssets/SpryTooltip_quickguide.css HTTP/1.1" 200 449
143.107.162.166 - - [12/Sep/2014:18:22:39 -0300] "GET /remoto/downloads.png HTTP/1.1" 200 32639
143.107.162.166 - - [12/Sep/2014:18:22:39 -0300] "GET /remoto/CompleteCircuitry.png HTTP/1.1" 200 87679
143.107.162.166 - - [12/Sep/2014:18:22:39 -0300] "GET /remoto/SpryAssets/SpryMenuBarRightHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [12/Sep/2014:18:22:39 -0300] "GET /remoto/SpryAssets/SpryMenuBarDownHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [12/Sep/2014:18:22:39 -0300] "GET /remoto/bg1.jpg HTTP/1.1" 200 561841
143.107.162.166 - - [12/Sep/2014:18:22:39 -0300] "GET /remoto/SpryAssets/SpryMenuBarRight.gif HTTP/1.1" 200 55
143.107.162.166 - - [12/Sep/2014:18:22:39 -0300] "GET /remoto/SpryAssets/SpryMenuBarDown.gif HTTP/1.1" 200 55
143.107.162.166 - - [12/Sep/2014:18:22:39 -0300] "GET /remoto/remoto_top.png HTTP/1.1" 200 96503
143.107.162.166 - - [12/Sep/2014:18:22:42 -0300] "GET /remoto/login.do HTTP/1.1" 200 8724
143.107.162.166 - - [12/Sep/2014:18:22:42 -0300] "GET /remoto/hint.css HTTP/1.1" 200 109
143.107.162.166 - - [12/Sep/2014:18:22:42 -0300] "GET /remoto/image/seta.gif HTTP/1.1" 200 833
143.107.162.166 - - [12/Sep/2014:18:22:51 -0300] "POST /remoto/login.do;jsessionid=2A0C0C9E429508AD8540AEB800ED0361 HTTP/1.1" 200 8686
143.107.162.166 - - [12/Sep/2014:18:23:17 -0300] "GET /remoto/general.do HTTP/1.1" 200 11116
143.107.162.166 - - [12/Sep/2014:18:23:17 -0300] "GET /remoto/SpryAssets/SpryTooltip.css HTTP/1.1" 200 497
143.107.162.166 - - [12/Sep/2014:18:23:21 -0300] "POST /remoto/general.do HTTP/1.1" 200 11107
143.107.162.166 - - [12/Sep/2014:18:23:25 -0300] "POST /remoto/general.do HTTP/1.1" 200 11107
143.107.162.166 - - [12/Sep/2014:18:23:26 -0300] "GET /remoto/input.do HTTP/1.1" 200 22460
143.107.162.166 - - [12/Sep/2014:18:23:26 -0300] "GET /remoto/SpryAssets/SpryCollapsiblePanel.js HTTP/1.1" 200 15731
143.107.162.166 - - [12/Sep/2014:18:23:26 -0300] "GET /remoto/SpryAssets/SpryCollapsiblePanel.css HTTP/1.1" 200 4126
143.107.162.166 - - [12/Sep/2014:18:23:26 -0300] "GET /remoto/SpryAssets/SpryTabbedPanels.js HTTP/1.1" 200 11701
143.107.162.166 - - [12/Sep/2014:18:23:27 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.8713196220026068 HTTP/1.1" 200 36497
143.107.162.166 - - [12/Sep/2014:18:23:27 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.11975843022012622 HTTP/1.1" 200 21676
143.107.162.166 - - [12/Sep/2014:18:23:29 -0300] "GET /remoto/network.do HTTP/1.1" 200 19152
143.107.162.166 - - [12/Sep/2014:18:23:29 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.5904265660370697 HTTP/1.1" 200 29712
143.107.162.166 - - [12/Sep/2014:18:23:40 -0300] "GET /remoto/synapse.do HTTP/1.1" 200 10910
143.107.162.166 - - [12/Sep/2014:18:23:40 -0300] "GET /remoto/apply.css HTTP/1.1" 200 129
143.107.162.166 - - [12/Sep/2014:18:46:54 -0300] "POST /remoto/synapse.do HTTP/1.1" 200 10911
143.107.162.166 - - [12/Sep/2014:18:46:54 -0300] "GET /remoto/bg.css HTTP/1.1" 200 84
143.107.162.166 - - [12/Sep/2014:18:46:54 -0300] "GET /remoto/apply.css HTTP/1.1" 200 129
143.107.162.166 - - [12/Sep/2014:18:46:54 -0300] "GET /remoto/hint.css HTTP/1.1" 200 109
143.107.162.166 - - [12/Sep/2014:18:46:54 -0300] "GET /remoto/SpryAssets/SpryMenuBar.js HTTP/1.1" 200 22007
143.107.162.166 - - [12/Sep/2014:18:46:54 -0300] "GET /remoto/SpryAssets/SpryMenuBarHorizontal.css HTTP/1.1" 200 6080
177.141.141.247 - - [12/Sep/2014:21:43:22 -0300] "GET / HTTP/1.1" 404 951
177.141.141.247 - - [12/Sep/2014:22:00:47 -0300] "GET / HTTP/1.1" 404 951
177.141.141.247 - - [12/Sep/2014:22:13:11 -0300] "GET / HTTP/1.1" 404 951
177.141.141.247 - - [12/Sep/2014:22:20:58 -0300] "GET / HTTP/1.1" 404 951
177.141.141.247 - - [12/Sep/2014:22:33:01 -0300] "GET / HTTP/1.1" 404 951
177.141.141.247 - - [12/Sep/2014:23:20:23 -0300] "GET / HTTP/1.1" 404 951
