127.0.0.1 - - [07/Oct/2014:11:39:20 -0300] "GET / HTTP/1.1" 404 951
143.107.162.166 - - [07/Oct/2014:11:39:33 -0300] "GET /remoto/overview.htm HTTP/1.1" 200 7661
143.107.162.166 - - [07/Oct/2014:11:39:33 -0300] "GET /remoto/bg.css HTTP/1.1" 200 84
143.107.162.166 - - [07/Oct/2014:11:39:33 -0300] "GET /remoto/SpryAssets/SpryTooltip.js HTTP/1.1" 200 29953
143.107.162.166 - - [07/Oct/2014:11:39:33 -0300] "GET /remoto/favicon.ico HTTP/1.1" 200 2102
143.107.162.166 - - [07/Oct/2014:11:39:33 -0300] "GET /remoto/SpryAssets/SpryTooltip_quickguide.css HTTP/1.1" 200 449
143.107.162.166 - - [07/Oct/2014:11:39:33 -0300] "GET /remoto/SpryAssets/SpryMenuBarHorizontal.css HTTP/1.1" 200 6080
143.107.162.166 - - [07/Oct/2014:11:39:33 -0300] "GET /remoto/SpryAssets/SpryMenuBar.js HTTP/1.1" 200 22007
143.107.162.166 - - [07/Oct/2014:11:39:33 -0300] "GET /remoto/downloads.png HTTP/1.1" 200 32639
143.107.162.166 - - [07/Oct/2014:11:39:33 -0300] "GET /remoto/CompleteCircuitry.png HTTP/1.1" 200 87679
143.107.162.166 - - [07/Oct/2014:11:39:33 -0300] "GET /remoto/SpryAssets/SpryMenuBarRightHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [07/Oct/2014:11:39:33 -0300] "GET /remoto/SpryAssets/SpryMenuBarDownHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [07/Oct/2014:11:39:33 -0300] "GET /remoto/bg1.jpg HTTP/1.1" 200 561841
143.107.162.166 - - [07/Oct/2014:11:39:33 -0300] "GET /remoto/SpryAssets/SpryMenuBarDown.gif HTTP/1.1" 200 55
143.107.162.166 - - [07/Oct/2014:11:39:33 -0300] "GET /remoto/remoto_top.png HTTP/1.1" 200 96503
143.107.162.166 - - [07/Oct/2014:11:39:33 -0300] "GET /remoto/SpryAssets/SpryMenuBarRight.gif HTTP/1.1" 200 55
143.107.162.166 - - [07/Oct/2014:11:40:22 -0300] "GET /remoto/login.do HTTP/1.1" 200 8724
143.107.162.166 - - [07/Oct/2014:11:40:22 -0300] "GET /remoto/hint.css HTTP/1.1" 200 109
143.107.162.166 - - [07/Oct/2014:11:40:22 -0300] "GET /remoto/image/seta.gif HTTP/1.1" 200 833
143.107.162.166 - - [07/Oct/2014:11:40:27 -0300] "POST /remoto/login.do;jsessionid=5B73187A68986FA50BCFBAA96714740F HTTP/1.1" 200 8686
143.107.162.166 - - [07/Oct/2014:11:40:29 -0300] "GET /remoto/general.do HTTP/1.1" 200 11116
143.107.162.166 - - [07/Oct/2014:11:40:29 -0300] "GET /remoto/SpryAssets/SpryTooltip.css HTTP/1.1" 200 497
143.107.162.166 - - [07/Oct/2014:11:40:32 -0300] "POST /remoto/general.do HTTP/1.1" 200 11109
143.107.162.166 - - [07/Oct/2014:11:40:34 -0300] "POST /remoto/general.do HTTP/1.1" 200 11109
143.107.162.166 - - [07/Oct/2014:11:40:37 -0300] "GET /remoto/input.do HTTP/1.1" 200 22784
143.107.162.166 - - [07/Oct/2014:11:40:37 -0300] "GET /remoto/SpryAssets/SpryCollapsiblePanel.js HTTP/1.1" 200 15731
143.107.162.166 - - [07/Oct/2014:11:40:37 -0300] "GET /remoto/SpryAssets/SpryTabbedPanels.js HTTP/1.1" 200 11701
143.107.162.166 - - [07/Oct/2014:11:40:37 -0300] "GET /remoto/SpryAssets/SpryCollapsiblePanel.css HTTP/1.1" 200 4126
143.107.162.166 - - [07/Oct/2014:11:40:38 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.3416442372977374 HTTP/1.1" 200 27645
143.107.162.166 - - [07/Oct/2014:11:40:38 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.8108396893965805 HTTP/1.1" 200 24641
143.107.162.166 - - [07/Oct/2014:11:40:42 -0300] "GET /remoto/synapse.do HTTP/1.1" 200 14328
143.107.162.166 - - [07/Oct/2014:11:40:42 -0300] "GET /remoto/apply.css HTTP/1.1" 200 129
143.107.162.166 - - [07/Oct/2014:11:40:46 -0300] "POST /remoto/synapse.do HTTP/1.1" 200 8187
143.107.162.166 - - [07/Oct/2014:11:40:52 -0300] "GET /remoto/network.do HTTP/1.1" 200 19171
143.107.162.166 - - [07/Oct/2014:11:40:52 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.09431217821208149 HTTP/1.1" 200 29311
143.107.162.166 - - [07/Oct/2014:11:40:54 -0300] "POST /remoto/network.do HTTP/1.1" 200 19187
143.107.162.166 - - [07/Oct/2014:11:40:54 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.764129302961584 HTTP/1.1" 200 29712
143.107.162.166 - - [07/Oct/2014:11:40:55 -0300] "POST /remoto/network.do HTTP/1.1" 200 19206
143.107.162.166 - - [07/Oct/2014:11:40:55 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.9830230982125191 HTTP/1.1" 200 29712
143.107.162.166 - - [07/Oct/2014:11:40:56 -0300] "POST /remoto/network.do HTTP/1.1" 200 19224
143.107.162.166 - - [07/Oct/2014:11:40:56 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.5158526541481983 HTTP/1.1" 200 29712
143.107.162.166 - - [07/Oct/2014:11:40:57 -0300] "POST /remoto/network.do HTTP/1.1" 200 19243
143.107.162.166 - - [07/Oct/2014:11:40:57 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.41036801628966946 HTTP/1.1" 200 29994
143.107.162.166 - - [07/Oct/2014:11:40:58 -0300] "POST /remoto/network.do HTTP/1.1" 200 19261
143.107.162.166 - - [07/Oct/2014:11:40:58 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.38255870068688347 HTTP/1.1" 200 29994
143.107.162.166 - - [07/Oct/2014:11:40:59 -0300] "POST /remoto/network.do HTTP/1.1" 200 19279
143.107.162.166 - - [07/Oct/2014:11:40:59 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.13423121677442396 HTTP/1.1" 200 29994
143.107.162.166 - - [07/Oct/2014:11:41:01 -0300] "POST /remoto/network.do HTTP/1.1" 200 19279
143.107.162.166 - - [07/Oct/2014:11:41:01 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.39392277709300827 HTTP/1.1" 200 29994
143.107.162.166 - - [07/Oct/2014:11:41:05 -0300] "GET /remoto/input.do HTTP/1.1" 200 22784
143.107.162.166 - - [07/Oct/2014:11:41:06 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.15919569926074817 HTTP/1.1" 200 27645
143.107.162.166 - - [07/Oct/2014:11:41:06 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.746629968087542 HTTP/1.1" 200 24641
143.107.162.166 - - [07/Oct/2014:11:41:09 -0300] "GET /remoto/synapse.do HTTP/1.1" 200 14322
