121.37.63.187 - - [24/Jan/2015:04:25:44 -0200] "GET /manager/html HTTP/1.1" 404 975
194.45.244.110 - - [24/Jan/2015:07:52:49 -0200] "GET /tmUnblock.cgi HTTP/1.1" 400 -
118.98.104.21 - - [24/Jan/2015:08:49:49 -0200] "GET /user/soapCaller.bs HTTP/1.1" 404 987
54.224.246.144 - - [24/Jan/2015:12:09:28 -0200] "HEAD / HTTP/1.1" 404 -
201.48.94.219 - - [24/Jan/2015:14:08:27 -0200] "GET //cgi-bin/php HTTP/1.1" 404 975
201.48.94.219 - - [24/Jan/2015:14:08:27 -0200] "GET //cgi-bin/php5 HTTP/1.1" 404 977
201.48.94.219 - - [24/Jan/2015:14:08:27 -0200] "GET //cgi-bin/php-cgi HTTP/1.1" 404 983
201.48.94.219 - - [24/Jan/2015:14:08:27 -0200] "GET //cgi-bin/php.cgi HTTP/1.1" 404 983
201.48.94.219 - - [24/Jan/2015:14:08:27 -0200] "GET //cgi-bin/php_cgi HTTP/1.1" 404 983
201.48.94.219 - - [24/Jan/2015:14:08:27 -0200] "GET //cgi-bin/php4 HTTP/1.1" 404 977
201.48.94.219 - - [24/Jan/2015:14:08:27 -0200] "GET //cgi-bin/php3 HTTP/1.1" 404 977
201.48.94.219 - - [24/Jan/2015:14:08:27 -0200] "GET //index.php HTTP/1.1" 404 971
201.48.94.219 - - [24/Jan/2015:14:08:27 -0200] "GET //phppath/php HTTP/1.1" 404 975
201.48.94.219 - - [24/Jan/2015:14:08:27 -0200] "GET //phppath/php5 HTTP/1.1" 404 977
201.48.94.219 - - [24/Jan/2015:14:08:27 -0200] "GET //local-bin/php HTTP/1.1" 404 979
201.48.94.219 - - [24/Jan/2015:14:08:27 -0200] "GET //local-bin/php5 HTTP/1.1" 404 981
201.48.94.219 - - [24/Jan/2015:14:08:27 -0200] "GET / HTTP/1.1" 404 951
185.35.62.11 - - [24/Jan/2015:16:08:55 -0200] "HEAD / HTTP/1.1" 404 -
182.118.55.207 - - [24/Jan/2015:21:11:10 -0200] "GET / HTTP/1.1" 404 951
159.253.3.157 - - [24/Jan/2015:22:42:39 -0200] "GET /cgi-bin/test-cgi HTTP/1.1" 404 983
