127.0.0.1 - - [25/Mar/2015:14:59:14 -0300] "GET / HTTP/1.1" 404 951
143.107.162.166 - - [25/Mar/2015:14:59:23 -0300] "GET /remoto/overview.htm HTTP/1.1" 200 7661
143.107.162.166 - - [25/Mar/2015:14:59:23 -0300] "GET /remoto/bg.css HTTP/1.1" 200 84
143.107.162.166 - - [25/Mar/2015:14:59:23 -0300] "GET /remoto/SpryAssets/SpryTooltip.js HTTP/1.1" 200 29953
143.107.162.166 - - [25/Mar/2015:14:59:23 -0300] "GET /remoto/SpryAssets/SpryTooltip_quickguide.css HTTP/1.1" 200 449
143.107.162.166 - - [25/Mar/2015:14:59:23 -0300] "GET /remoto/SpryAssets/SpryMenuBarHorizontal.css HTTP/1.1" 200 6080
143.107.162.166 - - [25/Mar/2015:14:59:23 -0300] "GET /remoto/SpryAssets/SpryMenuBar.js HTTP/1.1" 200 22007
143.107.162.166 - - [25/Mar/2015:14:59:23 -0300] "GET /remoto/favicon.ico HTTP/1.1" 200 2102
143.107.162.166 - - [25/Mar/2015:14:59:23 -0300] "GET /remoto/downloads.png HTTP/1.1" 200 32639
143.107.162.166 - - [25/Mar/2015:14:59:23 -0300] "GET /remoto/CompleteCircuitry.png HTTP/1.1" 200 87679
143.107.162.166 - - [25/Mar/2015:14:59:23 -0300] "GET /remoto/SpryAssets/SpryMenuBarDownHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [25/Mar/2015:14:59:23 -0300] "GET /remoto/SpryAssets/SpryMenuBarRightHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [25/Mar/2015:14:59:23 -0300] "GET /remoto/bg1.jpg HTTP/1.1" 200 561841
143.107.162.166 - - [25/Mar/2015:14:59:23 -0300] "GET /remoto/SpryAssets/SpryMenuBarDown.gif HTTP/1.1" 200 55
143.107.162.166 - - [25/Mar/2015:14:59:23 -0300] "GET /remoto/remoto_top.png HTTP/1.1" 200 96503
143.107.162.166 - - [25/Mar/2015:14:59:23 -0300] "GET /remoto/SpryAssets/SpryMenuBarRight.gif HTTP/1.1" 200 55
143.107.162.166 - - [25/Mar/2015:14:59:26 -0300] "GET /remoto/login.do HTTP/1.1" 200 8724
143.107.162.166 - - [25/Mar/2015:14:59:26 -0300] "GET /remoto/hint.css HTTP/1.1" 200 109
143.107.162.166 - - [25/Mar/2015:14:59:26 -0300] "GET /remoto/image/seta.gif HTTP/1.1" 200 833
143.107.162.166 - - [25/Mar/2015:14:59:34 -0300] "POST /remoto/login.do;jsessionid=8F8821B6659C698EB6F24247F6EF640B HTTP/1.1" 200 8686
143.107.162.166 - - [25/Mar/2015:14:59:49 -0300] "GET /remoto/input.do HTTP/1.1" 200 22460
143.107.162.166 - - [25/Mar/2015:14:59:49 -0300] "GET /remoto/SpryAssets/SpryTabbedPanels.js HTTP/1.1" 200 11701
143.107.162.166 - - [25/Mar/2015:14:59:49 -0300] "GET /remoto/SpryAssets/SpryCollapsiblePanel.js HTTP/1.1" 200 15731
143.107.162.166 - - [25/Mar/2015:14:59:49 -0300] "GET /remoto/SpryAssets/SpryCollapsiblePanel.css HTTP/1.1" 200 4126
143.107.162.166 - - [25/Mar/2015:14:59:50 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.6584694513653939 HTTP/1.1" 200 35677
143.107.162.166 - - [25/Mar/2015:14:59:51 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.20835615057776136 HTTP/1.1" 200 22313
143.107.162.166 - - [25/Mar/2015:14:59:52 -0300] "GET /remoto/general.do HTTP/1.1" 200 11116
143.107.162.166 - - [25/Mar/2015:14:59:52 -0300] "GET /remoto/SpryAssets/SpryTooltip.css HTTP/1.1" 200 497
143.107.162.166 - - [25/Mar/2015:14:59:56 -0300] "POST /remoto/general.do HTTP/1.1" 200 11113
143.107.162.166 - - [25/Mar/2015:15:00:02 -0300] "GET /remoto/results.do?opt=chart_img HTTP/1.1" 200 6041
143.107.162.166 - - [25/Mar/2015:15:00:03 -0300] "GET /remoto/bg.css HTTP/1.1" 200 84
143.107.162.166 - - [25/Mar/2015:15:00:03 -0300] "GET /remoto/SpryAssets/SpryMenuBarHorizontal.css HTTP/1.1" 200 6080
143.107.162.166 - - [25/Mar/2015:15:00:03 -0300] "GET /remoto/SpryAssets/SpryMenuBar.js HTTP/1.1" 200 22007
143.107.162.166 - - [25/Mar/2015:15:00:03 -0300] "GET /remoto/SpryAssets/SpryMenuBarDownHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [25/Mar/2015:15:00:03 -0300] "GET /remoto/SpryAssets/SpryMenuBarRightHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [25/Mar/2015:15:00:03 -0300] "GET /remoto/remoto_top.png HTTP/1.1" 200 96503
143.107.162.166 - - [25/Mar/2015:15:00:03 -0300] "GET /remoto/SpryAssets/SpryMenuBarRight.gif HTTP/1.1" 200 55
143.107.162.166 - - [25/Mar/2015:15:00:03 -0300] "GET /remoto/bg1.jpg HTTP/1.1" 200 561841
143.107.162.166 - - [25/Mar/2015:15:00:03 -0300] "GET /remoto/SpryAssets/SpryMenuBarDown.gif HTTP/1.1" 200 55
143.107.162.166 - - [25/Mar/2015:15:02:19 -0300] "POST /remoto/general.do HTTP/1.1" 200 11113
143.107.162.166 - - [25/Mar/2015:15:02:22 -0300] "GET /remoto/input.do HTTP/1.1" 200 22460
143.107.162.166 - - [25/Mar/2015:15:02:22 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.47758342297232725 HTTP/1.1" 200 31260
143.107.162.166 - - [25/Mar/2015:15:02:22 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.7957972299849995 HTTP/1.1" 200 21676
143.107.162.166 - - [25/Mar/2015:15:02:26 -0300] "POST /remoto/input.do HTTP/1.1" 200 22785
143.107.162.166 - - [25/Mar/2015:15:02:26 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=inputHist&id=0.9584254833093631 HTTP/1.1" 200 27645
143.107.162.166 - - [25/Mar/2015:15:02:26 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=input&id=0.44712872091015177 HTTP/1.1" 200 21676
143.107.162.166 - - [25/Mar/2015:15:21:36 -0300] "POST /remoto/input.do HTTP/1.1" 200 22788
