180.97.106.37 - - [28/Jun/2015:04:18:55 -0300] "GET /login.cgi?uri=/ HTTP/1.1" 404 969
218.56.38.248 - - [28/Jun/2015:05:04:36 -0300] "GET /content/aip/journal/apl/104/23/10.1063/1.4883746 HTTP/1.1" 404 1047
218.56.38.248 - - [28/Jun/2015:05:04:38 -0300] "GET /content/aip/journal/apl/104/23/10.1063/1.4883746 HTTP/1.1" 404 1047
219.232.36.194 - - [28/Jun/2015:05:53:26 -0300] "GET / HTTP/1.1" 404 951
95.25.4.76 - - [28/Jun/2015:06:22:16 -0300] "GET /tmUnblock.cgi HTTP/1.1" 400 -
95.25.4.76 - - [28/Jun/2015:06:22:18 -0300] "GET / HTTP/1.1" 400 -
119.97.202.144 - - [28/Jun/2015:07:37:10 -0300] "GET /science/article/pii/0040402095007879 HTTP/1.1" 404 1023
194.72.112.130 - - [28/Jun/2015:11:36:36 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:37 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:37 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:38 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:38 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:39 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:39 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:40 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:41 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:41 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:42 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:42 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:43 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:43 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:44 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:44 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:45 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:45 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:46 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:46 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:47 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:47 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:48 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:48 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:49 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:49 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:50 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:50 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:51 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:51 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:52 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:52 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:53 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:53 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:54 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:54 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:55 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:56 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:56 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:57 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:57 -0300] "GET /manager/html HTTP/1.1" 404 975
194.72.112.130 - - [28/Jun/2015:11:36:58 -0300] "GET /manager/html HTTP/1.1" 404 975
